animal,date,time,latitude,longitude,LocationQuality
pb_06441,1/8/1990,19:32:57,63.481,-166.643,L1
pb_06732,11/25/1988,1:00:33,63.481,-172.077,L2
pb_06744,12/11/1988,4:48:08,63.485,-168.581,L1
pb_20001,12/22/1993,1:19:20,63.487,-172.091,L1
pb_06998,12/24/1993,21:36:47,63.491,-172.43,L1
pb_06998,12/22/1993,1:18:46,63.494,-172.35,L1
pb_06998,1/21/1994,1:52:51,63.526,-174.153,LB
pb_06935,3/15/1994,1:06:58,63.531,-172.367,LB
pb_06749,4/11/1988,22:16:37,63.535,-168.478,L2
pb_06951,2/6/1994,20:53:16,63.535,-175.49,LB
pb_06593,3/27/1987,22:49:02,63.538,-168.875,L1
pb_06998,12/30/1993,22:49:06,63.54,-176.185,L1
pb_06953,5/12/1993,22:38:27,63.545,-177.286,L2
pb_06953,12/17/1993,22:29:33,63.552,-168.14,LA
pb_06956,12/16/1992,1:05:58,63.563,-172.503,L1
pb_06876,1/23/1991,2:24:18,63.568,-167.552,L1
pb_06881,4/16/1991,2:28:14,63.571,-168.66,L1
pb_06749,4/8/1988,21:40:55,63.579,-168.538,L2
pb_06896,2/23/1992,1:50:24,63.589,-167.705,L1
pb_06809,3/14/1990,1:18:46,63.593,-169.796,L2
pb_06791,3/15/1990,2:48:46,63.599,-167.178,L2
pb_06802,3/9/1990,21:54:24,63.613,-173.365,L3
pb_06441,1/11/1990,22:47:26,63.617,-166.629,L2
pb_06441,2/10/1990,20:28:57,63.619,-166.976,L0
pb_06876,1/19/1991,21:57:40,63.625,-167.572,L1
pb_06593,3/18/1987,21:09:40,63.631,-168.845,L3
pb_06593,4/17/1987,17:24:40,63.631,-168.121,L1
pb_06738,3/18/1988,3:27:19,63.64,-168.332,L2
pb_06569,12/17/1986,17:20:41,63.641,-174.07,L1
pb_06802,3/7/1990,23:02:28,63.642,-172.449,L2
pb_06593,3/18/1987,2:21:37,63.647,-168.828,L2
pb_06732,12/9/1988,22:36:24,63.65,-170.215,L1
pb_06802,3/8/1990,23:55:36,63.659,-173.022,L2
pb_06802,3/12/1990,1:40:21,63.669,-174.302,L3
pb_06809,3/15/1990,5:55:17,63.677,-169.953,L2
pb_06744,12/8/1988,4:16:05,63.68,-169.095,L2
pb_06998,1/15/1994,3:07:01,63.683,-173.261,L2
pb_06802,3/7/1990,7:15:54,63.694,-172.069,L2
pb_06743,4/2/1988,2:25:00,63.703,-167.669,L1
pb_06744,12/6/1988,20:23:23,63.708,-169.382,L1
pb_06744,12/4/1988,21:07:53,63.71,-169.557,L2
pb_06951,4/4/1994,23:40:31,63.714,-176.505,LA
pb_06791,1/7/1992,3:04:12,63.716,-166.972,L1
pb_06881,2/20/1991,22:39:43,63.716,-169.478,L2
pb_06806,3/15/1990,5:55:13,63.717,-168.833,L2
pb_06802,3/10/1990,22:31:46,63.719,-173.834,L3
pb_06744,12/5/1988,22:24:26,63.728,-169.527,L1
pb_06809,3/16/1990,0:57:13,63.738,-169.752,L3
pb_06806,3/14/1990,4:35:20,63.739,-168.629,L3
pb_06953,1/31/1994,22:59:18,63.74,-175.043,L1
pb_06594,12/6/1987,0:14:53,63.762,-167.613,L1
pb_06594,12/11/1987,21:26:03,63.766,-166.771,L2
pb_06736,3/13/1988,7:24:07,63.772,-170.228,L1
pb_06744,12/3/1988,21:29:10,63.773,-169.594,L2
pb_06736,3/13/1988,21:28:40,63.774,-170.278,L2
pb_06744,12/2/1988,21:50:27,63.778,-169.654,L2
pb_06593,4/14/1987,17:57:18,63.781,-168.534,L1
pb_06744,11/30/1988,0:12:14,63.79,-169.758,L3
pb_06881,2/24/1991,1:27:41,63.791,-169.533,L2
pb_06936,12/15/1992,23:25:44,63.793,-168.767,L2
pb_06951,4/10/1994,21:24:08,63.796,-177.162,L0
pb_06799,3/7/1990,7:17:19,63.802,-169.082,L2
pb_06935,3/20/1994,22:24:28,63.809,-171.899,L1
pb_06799,3/6/1990,4:20:09,63.811,-169.226,L1
pb_06802,4/4/1990,23:03:14,63.811,-172.021,L3
pb_06886,3/9/1991,3:48:06,63.811,-169.442,L1
pb_06804,3/9/1990,6:30:58,63.816,-170.074,L1
pb_20002,12/16/1993,22:50:14,63.82,-168.562,L1
pb_06791,3/13/1990,20:25:03,63.822,-166.851,L1
pb_06735,3/13/1988,7:25:45,63.827,-172.172,L1
pb_06732,3/12/1988,4:24:33,63.831,-170.545,L2
pb_06735,3/12/1988,2:50:40,63.845,-172.207,L2
pb_06896,1/27/1992,0:23:12,63.849,-169.476,L2
pb_06743,3/16/1988,6:19:07,63.855,-170.44,L1
pb_06743,3/23/1988,20:49:24,63.855,-168.823,L2
pb_06956,12/25/1992,2:38:37,63.855,-168.409,L2
pb_06998,1/2/1994,21:44:26,63.856,-176.215,L1
pb_20002,12/19/1993,21:48:31,63.871,-169.238,LB
pb_06791,3/15/1990,21:18:49,63.879,-167.161,L2
pb_06881,2/18/1991,2:33:19,63.879,-169.74,LA
pb_06956,12/19/1992,0:30:16,63.879,-170.787,L2
pb_06956,12/21/1992,21:36:27,63.884,-169.387,L1
pb_06799,3/8/1990,0:42:11,63.886,-169.027,L2
pb_06799,3/9/1990,20:16:42,63.888,-169.134,L2
pb_06886,3/8/1991,4:13:39,63.888,-169.766,L2
pb_06951,12/20/1993,23:47:16,63.889,-168.198,LB
pb_06998,1/11/1994,21:48:08,63.89,-175.377,L1
pb_06569,12/20/1986,4:48:14,63.891,-174.977,L1
pb_06799,3/11/1990,2:28:00,63.893,-169.223,L2
pb_06806,3/12/1990,20:44:29,63.895,-168.777,L3
pb_06809,3/16/1990,23:08:46,63.9,-169.417,L3
pb_06738,3/18/1988,22:37:18,63.904,-168.432,L2
pb_06743,3/17/1988,0:15:39,63.904,-170.286,L2
pb_06791,3/12/1990,20:27:15,63.912,-167.043,L1
pb_06806,3/16/1990,0:35:31,63.913,-168.841,L3
pb_06441,1/26/1990,21:06:05,63.914,-167.308,L1
pb_06743,3/17/1988,22:24:38,63.914,-170.05,L2
pb_06799,3/8/1990,20:37:26,63.914,-169.015,L1
pb_06749,4/5/1988,22:47:12,63.916,-167.859,L3
pb_06593,4/11/1987,18:03:57,63.918,-168.952,L1
pb_06736,3/14/1988,20:45:14,63.918,-170.137,L2
pb_06881,4/3/1991,23:07:47,63.92,-168.066,L1
pb_06886,3/9/1991,20:52:22,63.929,-169.329,L2
pb_06881,4/1/1991,1:21:48,63.93,-168.042,LZ
pb_06896,4/25/1992,21:42:01,63.935,-166.535,L1
pb_06881,2/26/1991,21:46:14,63.937,-169.028,L2
pb_06875,2/12/1991,20:28:34,63.952,-168.205,L2
pb_06799,3/11/1990,22:18:59,63.953,-169.163,L3
pb_06744,11/26/1988,22:58:21,63.959,-170.185,L2
pb_06872,2/2/1991,22:37:02,63.96,-168.236,L1
pb_06881,4/18/1991,20:23:37,63.96,-167.909,L1
pb_06806,3/11/1990,22:18:29,63.964,-168.919,L1
pb_06735,3/14/1988,0:48:16,63.965,-171.698,L2
pb_06441,2/4/1990,23:36:14,63.966,-167.019,L1
pb_06895,12/26/1991,0:02:33,63.97,-171.522,L1
pb_06804,3/9/1990,23:33:02,63.976,-169.977,L3
pb_06791,3/12/1990,7:04:17,63.977,-166.734,L1
pb_06881,2/14/1991,22:07:15,63.986,-170.077,L1
pb_06953,2/15/1993,2:10:59,63.986,-169.608,L1
pb_06806,3/11/1990,7:24:53,63.997,-168.976,L1
pb_06953,5/16/1994,22:21:41,64.001,-170.339,LA
pb_06743,3/26/1988,20:49:07,64.006,-168.585,LZ
pb_06441,3/6/1990,21:33:02,64.008,-167.522,L2
pb_06895,12/19/1991,21:44:59,64.008,-171.293,LZ
pb_06953,2/12/1993,2:46:30,64.009,-169.329,L0
pb_06791,2/22/1990,20:53:50,64.011,-166.615,L1
pb_06732,3/12/1988,23:19:38,64.012,-170.741,L1
pb_06743,3/19/1988,23:54:51,64.017,-169.271,L2
pb_06441,2/19/1990,22:02:33,64.018,-166.441,LA
pb_06791,1/13/1992,1:29:23,64.019,-167.088,L1
pb_06744,12/19/1988,20:40:23,64.025,-167.082,L1
pb_06791,2/14/1990,1:17:57,64.025,-166.816,L1
pb_06886,3/29/1991,0:20:10,64.026,-172.264,L1
pb_06441,2/16/1990,21:30:05,64.028,-166.809,L3
pb_20002,12/11/1993,1:50:51,64.03,-169.234,L2
pb_06743,3/19/1988,3:33:11,64.033,-169.642,L2
pb_06936,12/25/1992,0:58:12,64.033,-168.287,L2
pb_06953,5/2/1994,3:03:07,64.035,-168.736,L1
pb_06895,12/22/1991,22:54:02,64.036,-171.193,L1
pb_06791,3/6/1990,22:59:02,64.037,-166.627,L3
pb_06791,3/11/1990,1:52:32,64.041,-166.766,L3
pb_06896,1/30/1992,1:30:38,64.045,-168.257,L1
pb_06953,4/16/1994,23:27:15,64.047,-172.61,L2
pb_06724,3/18/1988,19:18:37,64.05,-167.458,L1
pb_06441,2/7/1990,18:12:56,64.051,-167.085,L1
pb_06744,12/22/1988,21:11:55,64.054,-167.511,L2
pb_06809,3/18/1990,21:50:21,64.058,-169.627,L2
pb_06912,3/20/1992,21:09:57,64.058,-170.397,L2
pb_06951,2/27/1994,21:36:33,64.058,-176.028,L1
pb_06736,3/16/1988,2:07:19,64.061,-170.047,L2
pb_06791,3/9/1990,21:54:13,64.062,-166.707,L1
pb_06743,3/20/1988,20:11:51,64.073,-169.258,L0
pb_06809,3/18/1990,0:36:40,64.073,-169.503,L2
pb_06998,1/8/1994,22:55:44,64.075,-175.354,LB
pb_06441,3/3/1990,19:08:27,64.08,-167.832,LA
pb_06804,3/10/1990,22:29:07,64.081,-169.805,L2
pb_06441,2/22/1990,22:00:23,64.084,-166.244,L1
pb_06936,12/21/1992,21:37:12,64.088,-168.627,L1
pb_06896,5/2/1992,0:35:11,64.089,-167.465,L0
pb_06593,4/5/1987,17:56:42,64.091,-169.898,L1
pb_06953,5/13/1994,21:18:32,64.094,-169.969,LZ
pb_06441,1/29/1990,21:35:43,64.103,-167.398,LB
pb_06799,3/14/1990,23:19:30,64.108,-168.954,L2
pb_06791,2/25/1990,21:25:39,64.119,-166.458,L1
pb_06796,3/4/1990,3:24:26,64.119,-169.647,L2
pb_06886,3/11/1991,6:23:14,64.119,-169.715,L2
pb_06732,3/13/1988,21:05:01,64.121,-170.904,L1
pb_06875,2/15/1991,23:36:26,64.121,-168.174,L2
pb_06896,1/24/1992,2:41:06,64.121,-170.086,L3
pb_06895,12/28/1991,23:37:10,64.122,-171.538,LA
pb_06953,5/5/1994,0:46:28,64.122,-169.118,L1
pb_06791,1/9/1992,21:04:33,64.125,-166.913,L1
pb_06881,3/1/1991,22:15:22,64.13,-169.228,L1
pb_06732,12/12/1988,21:32:07,64.132,-168.519,L1
pb_06441,1/3/1990,0:22:49,64.139,-169.64,L2
pb_06736,3/16/1988,21:43:22,64.141,-170.251,L1
pb_06875,2/24/1991,21:55:34,64.143,-168.191,L1
pb_06875,2/7/1991,1:19:59,64.152,-167.455,L1
pb_06912,3/24/1992,2:34:48,64.155,-171.027,L2
pb_06896,2/8/1992,1:23:49,64.161,-167.231,L2
pb_06886,3/26/1991,2:15:34,64.165,-170.473,L2
pb_06441,1/20/1990,21:40:27,64.171,-166.847,L1
pb_06441,2/1/1990,18:48:13,64.176,-167.383,LB
pb_06791,2/20/1990,0:11:23,64.186,-166.982,LB
pb_06802,4/1/1990,21:31:38,64.186,-174.136,L1
pb_06912,3/17/1992,22:13:21,64.186,-169.935,L2
pb_06791,2/10/1990,20:49:58,64.191,-166.852,L2
pb_06875,2/18/1991,21:23:42,64.192,-168.294,L1
pb_06953,5/15/1993,21:32:26,64.194,-175.85,L1
pb_06802,3/14/1990,20:09:51,64.196,-174.642,L1
pb_06953,4/28/1994,21:03:52,64.201,-169.159,L1
pb_06951,3/20/1994,22:22:31,64.205,-175.429,L0
pb_06792,3/3/1990,3:49:14,64.208,-170.881,L1
pb_06735,3/14/1988,22:58:50,64.209,-171.023,L2
pb_06896,2/2/1992,2:18:01,64.211,-167.63,L2
pb_06441,1/5/1990,22:19:01,64.213,-167.971,L2
pb_06956,12/13/1992,0:01:48,64.214,-172.399,L2
pb_06936,12/19/1992,2:08:58,64.215,-168.57,L2
pb_06441,2/28/1990,20:16:41,64.216,-166.859,L1
pb_06956,3/25/1993,2:52:42,64.216,-172.003,LA
pb_06896,1/20/1992,23:56:13,64.224,-170.551,L3
pb_06896,4/28/1992,20:42:37,64.226,-167.07,LZ
pb_06875,3/8/1991,21:22:17,64.231,-167.471,L1
pb_06441,1/23/1990,20:33:37,64.241,-167.276,L1
pb_06899,1/20/1992,1:48:03,64.242,-172.349,L1
pb_06951,2/9/1994,21:29:28,64.242,-175.877,L1
pb_06912,3/26/1992,20:43:05,64.245,-171.095,L1
pb_06804,3/12/1990,7:03:44,64.247,-169.645,L2
pb_06736,3/17/1988,21:19:56,64.248,-170.076,LZ
pb_06953,2/6/1993,0:40:33,64.248,-169.116,L0
pb_06441,1/14/1990,20:36:59,64.25,-165.974,LB
pb_06896,2/5/1992,0:19:38,64.25,-166.789,L2
pb_06804,3/12/1990,22:06:48,64.253,-169.768,L1
pb_06953,2/17/1993,20:57:41,64.253,-169.212,L1
pb_06791,3/1/1990,0:15:56,64.258,-166.242,L2
pb_06806,3/30/1990,20:36:58,64.262,-170.691,L2
pb_06881,3/13/1991,23:47:10,64.262,-170.588,L2
pb_06806,4/8/1990,23:51:38,64.265,-170.256,L3
pb_06912,3/12/1992,5:13:30,64.267,-169.896,L2
pb_06744,12/26/1988,0:51:06,64.27,-168.637,L2
pb_06998,2/2/1994,1:06:44,64.272,-172.772,L1
pb_06936,12/13/1992,2:25:38,64.274,-168.758,L2
pb_06953,5/11/1994,3:17:31,64.275,-169.638,L1
pb_06998,12/18/1993,20:57:52,64.279,-171.776,L1
pb_06875,3/19/1991,20:19:16,64.28,-169.121,L0
pb_06806,4/23/1990,22:58:32,64.281,-169.82,L2
pb_06876,3/20/1991,2:01:43,64.284,-174.773,L2
pb_06881,3/8/1991,5:51:52,64.286,-169.307,L1
pb_06881,2/11/1991,20:53:49,64.287,-170.035,L2
pb_06953,5/7/1994,23:25:36,64.288,-169.18,L0
pb_06441,3/9/1990,19:23:32,64.289,-167.228,LB
pb_06806,4/5/1990,22:50:59,64.29,-170.57,L1
pb_06881,3/28/1991,21:48:21,64.292,-169.025,L2
pb_06896,2/19/1992,21:21:29,64.297,-168.887,L1
pb_06875,3/9/1991,20:52:13,64.299,-167.476,L2
pb_06791,3/3/1990,22:07:03,64.301,-166.539,L1
pb_06791,3/21/1990,20:41:58,64.301,-167.552,L1
pb_06804,3/16/1990,0:57:03,64.301,-169.674,L2
pb_06886,3/19/1991,20:59:56,64.304,-170.221,L2
pb_06953,4/19/1994,21:37:11,64.304,-170.11,LZ
pb_06441,12/30/1989,19:35:16,64.305,-169.744,L1
pb_06792,3/3/1990,20:50:47,64.308,-170.82,L2
pb_06802,3/24/1990,2:55:21,64.313,-175.363,L2
pb_06881,4/27/1991,21:51:00,64.314,-167.857,L2
pb_20002,12/22/1993,20:44:44,64.319,-172.155,L1
pb_06953,4/23/1994,3:06:18,64.32,-169.833,L1
pb_06881,4/21/1991,23:05:39,64.321,-167.728,L0
pb_06881,3/9/1991,7:08:03,64.323,-169.203,L2
pb_06912,3/14/1992,21:40:01,64.323,-169.62,L2
pb_06732,3/14/1988,22:58:28,64.324,-170.456,L2
pb_06744,1/1/1989,2:10:48,64.325,-169.159,L2
pb_06953,4/25/1994,21:08:14,64.325,-169.21,L0
pb_06881,5/1/1991,0:45:25,64.33,-167.495,L2
pb_06744,12/29/1988,0:22:46,64.332,-168.94,L1
pb_06791,1/16/1992,2:36:01,64.337,-167.685,L1
pb_20001,12/18/1993,20:30:09,64.339,-171.524,L1
pb_06951,2/24/1994,20:32:54,64.344,-176.394,LB
pb_06791,2/6/1992,1:47:26,64.345,-167.244,L2
pb_06875,2/9/1991,23:04:02,64.349,-167.764,L1
pb_06886,3/16/1991,21:30:26,64.35,-170.673,L0
pb_06744,1/3/1989,21:40:43,64.364,-168.821,L2
pb_06896,2/17/1992,3:00:21,64.365,-168.919,LA
pb_06935,3/23/1994,21:18:46,64.366,-171.13,L1
pb_06806,4/20/1990,20:59:25,64.367,-169.941,L1
pb_06912,3/13/1992,23:29:01,64.367,-169.599,L1
pb_06875,3/22/1991,20:48:28,64.369,-169.407,L1
pb_06953,3/3/1994,3:08:50,64.374,-169.231,L2
pb_06791,3/18/1990,21:51:30,64.376,-167.449,L1
pb_06743,4/7/1988,20:23:16,64.378,-168.595,LB
pb_06802,3/26/1990,22:59:19,64.378,-175.046,L3
pb_06875,2/28/1991,0:42:50,64.379,-168.15,L1
pb_06796,3/5/1990,4:41:18,64.38,-169.268,L2
pb_06881,3/17/1991,0:53:08,64.38,-170.032,L1
